day,month,year,Temperature,RH,Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
1,1,2012,1,6,0,0,1055.8,32.3,324,13.8,57.6,28.3,fire
2,1,2012,2,5,1,0,1056.2,32.6,325.2,13.9,58,28.5,fire
3,1,2012,3,4,2,0,1056.6,32.9,326.4,14,58.4,28.7,fire
4,1,2012,4,3,3,0,1057,33.2,327.6,14.1,58.8,28.9,fire
5,1,2012,5,2,4,0,1057.4,33.5,328.8,14.2,59.2,29.1,fire
6,1,2012,6,1,5,0,1057.8,33.8,330,14.3,59.6,29.3,fire
7,1,2012,7,0,6,0,1058.2,34.1,331.2,14.4,60,29.5,fire
8,1,2012,8,10,7,0,1058.6,34.4,332.4,14.5,60.4,29.7,fire
9,1,2012,9,9,8,0,1059,34.7,333.6,14.6,60.8,29.9,fire
10,1,2012,10,8,9,0,1059.4,35,334.8,14.7,61.2,30.1,fire
11,1,2012,11,7,10,0,1059.8,35.3,336,14.8,61.6,30.3,fire
12,1,2012,12,6,11,0,1060.2,35.6,337.2,14.9,62,30.5,fire
13,1,2012,13,5,12,0,1060.6,35.9,338.4,15,62.4,30.7,fire
14,1,2012,14,4,13,0,1061,36.2,339.6,15.1,62.8,30.9,fire
15,1,2012,15,3,14,0,1061.4,36.5,340.8,15.2,63.2,31.1,fire
16,1,2012,16,2,15,0,1061.8,36.8,342,15.3,63.6,31.3,fire
17,1,2012,17,1,16,0,1062.2,37.1,343.2,15.4,64,31.5,fire
18,1,2012,18,0,17,0,1062.6,37.4,344.4,15.5,64.4,31.7,fire
19,1,2012,19,10,18,0,1063,37.7,345.6,15.6,64.8,31.9,fire
20,1,2012,20,9,19,0,1063.4,38,346.8,15.7,65.2,32.1,fire
21,1,2012,21,8,20,0,1063.8,38.3,348,15.8,65.6,32.3,fire
22,1,2012,22,7,21,0,1064.2,38.6,349.2,15.9,66,32.5,fire
23,1,2012,23,6,22,0,1064.6,38.9,350.4,16,66.4,32.7,fire
24,1,2012,24,5,23,0,1065,39.2,351.6,16.1,66.8,32.9,fire
25,1,2012,25,4,24,0,1065.4,39.5,352.8,16.2,67.2,33.1,fire
26,1,2012,26,3,25,0,1065.8,39.8,354,16.3,67.6,33.3,fire
27,1,2012,27,2,26,0,1066.2,40.1,355.2,16.4,68,33.5,fire
28,1,2012,28,1,27,0,1066.6,40.4,356.4,16.5,68.4,33.7,fire
29,1,2012,29,0,28,0,1067,40.7,357.6,16.6,68.8,33.9,fire
30,1,2012,30,10,29,0,1067.4,41,358.8,16.7,69.2,34.1,fire
31,1,2012,31,9,30,0,1067.8,41.3,360,16.8,69.6,34.3,fire
01,02,2012,24,74,11,0,76.5,4.4,17.9,2.7,7.2,2.2,not fire
02,02,2012,22,80,14,0,67.9,3.9,18.6,0.6,6.7,0.4,not fire
03,02,2012,21,81,16,0,63.7,3.4,19.8,0.5,6.2,0.3,not fire
04,02,2012,23,74,14,0,67.2,3.6,22.1,0.6,7.4,0.5,not fire
05,02,2012,24,67,17,0,72.2,5,24.3,1.3,8.5,1,not fire
06,02,2012,26,61,18,0,78.1,6.9,25.6,2.2,9.6,2,not fire
07,02,2012,25,68,14,0,78.2,7.4,27.2,2.5,10.5,2.4,not fire
08,02,2012,27,57,17,0,85.3,9.5,27.7,4.1,11.4,4.2,fire
09,02,2012,28,55,14,0,87.5,11.7,28.4,5.6,12.3,5.9,fire
10,02,2012,29,52,14,0,89.4,13.3,29.1,6.7,13.2,7.1,fire
11,02,2012,30,51,13,0,90.9,14.6,29.8,7.7,13.9,8,fire
12,02,2012,31,49,13,0,91.5,15.5,30.5,8.3,14.4,8.6,fire
13,02,2012,32,46,14,0,92.1,16.5,31.2,8.9,14.9,9.2,fire
14,02,2012,32,47,13,0,91.8,16.2,31.8,8.6,14.7,9.1,fire
15,02,2012,33,45,14,0,92.3,17.2,32.5,9.2,15.3,9.7,fire
16,02,2012,32,49,13,0,91.9,16.5,33.2,8.8,15,9.4,fire
17,02,2012,31,51,14,0,90.8,15.5,33.9,7.7,14.3,8.5,fire
18,02,2012,30,53,16,0,88.6,13.3,34.6,6.4,12.8,6.9,fire
19,02,2012,28,59,18,0,84.3,9.5,35.3,4.3,10.9,4.8,fire
20,02,2012,27,63,20,0,79.6,6.4,35.9,2.8,9.4,2.9,not fire
21,02,2012,26,68,18,0,76.5,4.4,36.5,1.8,8.2,1.9,not fire
22,02,2012,25,71,16,0,73.9,3.2,36.8,1,7.2,1,not fire
23,02,2012,24,74,14,0,71.7,2.3,36.8,0.6,6.6,0.5,not fire
24,02,2012,23,77,12,0,70.1,1.6,36.8,0.4,6.1,0.3,not fire
25,02,2012,23,78,11,0,69,1.3,36.8,0.3,5.7,0.2,not fire
26,02,2012,22,79,10,0,68,1,36.8,0.2,5.4,0.1,not fire
27,02,2012,21,81,10,0,66.8,0.8,36.8,0.1,5.1,0.1,not fire
